State,County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
ALABAMA - Metropolitan Counties,Autauga,73,1,12,,8,52,429,146,233,50,
ALABAMA - Metropolitan Counties,Baldwin,127,1,5,,23,98,613,229,342,42,
ALABAMA - Metropolitan Counties,Bibb,0,0,0,,0,0,37,20,14,3,
ALABAMA - Metropolitan Counties,Blount,394,1,17,,9,367,867,261,501,105,
ALABAMA - Metropolitan Counties,Calhoun,23,0,7,,5,11,319,137,181,1,
ALABAMA - Metropolitan Counties,Chilton,151,0,10,,3,138,592,247,295,50,
ALABAMA - Metropolitan Counties,Elmore,88,4,22,,7,55,677,223,408,46,
ALABAMA - Metropolitan Counties,Etowah,135,1,20,,7,107,480,149,255,76,
ALABAMA - Metropolitan Counties,Geneva,46,1,9,,2,34,205,71,106,28,
ALABAMA - Metropolitan Counties,Hale,33,0,2,,2,29,139,73,55,11,
ALABAMA - Metropolitan Counties,Henry,13,0,1,,1,11,86,34,44,8,
ALABAMA - Metropolitan Counties,Houston,114,4,18,,7,85,616,179,395,42,
ALABAMA - Metropolitan Counties,Jefferson,693,5,48,,173,467,2659,1589,919,151,31
ALABAMA - Metropolitan Counties,Lauderdale,30,1,2,,0,27,285,54,190,41,
ALABAMA - Metropolitan Counties,Lawrence,70,0,7,,6,57,326,105,189,32,
ALABAMA - Metropolitan Counties,Lee,443,10,21,,18,394,1296,389,807,100,
ALABAMA - Metropolitan Counties,Limestone,120,0,29,,9,82,829,202,565,62,
ALABAMA - Metropolitan Counties,Lowndes,51,2,5,,9,35,224,96,108,20,
ALABAMA - Metropolitan Counties,Madison,341,2,44,,39,256,2257,576,1474,207,
ALABAMA - Metropolitan Counties,Mobile,151,9,13,,26,103,2149,612,1299,238,
ALABAMA - Metropolitan Counties,Montgomery,117,1,4,,8,104,360,121,198,41,
ALABAMA - Metropolitan Counties,Morgan,71,0,10,,2,59,373,192,165,16,
ALABAMA - Metropolitan Counties,Russell,66,2,20,,5,39,372,124,206,42,
ALABAMA - Metropolitan Counties,Shelby,111,3,25,,8,75,886,251,537,98,
ALABAMA - Metropolitan Counties,St. Clair,236,0,20,,4,212,541,214,303,24,
ALABAMA - Metropolitan Counties,Tuscaloosa,185,1,6,,22,156,1234,387,726,121,
ALABAMA - Metropolitan Counties,Walker,121,2,18,,10,91,908,262,526,120,
ALABAMA - Nonmetropolitan Counties,Barbour,32,0,4,,2,26,124,50,65,9,
ALABAMA - Nonmetropolitan Counties,Butler,51,2,3,,6,40,140,47,87,6,
ALABAMA - Nonmetropolitan Counties,Chambers,1,0,0,,0,1,89,36,53,0,
ALABAMA - Nonmetropolitan Counties,Cherokee,72,2,9,,4,57,387,147,192,48,
ALABAMA - Nonmetropolitan Counties,Clarke,54,3,5,,2,44,105,47,47,11,
ALABAMA - Nonmetropolitan Counties,Clay,2,0,0,,0,2,38,9,27,2,
ALABAMA - Nonmetropolitan Counties,Cleburne,7,0,1,,0,6,145,40,96,9,
ALABAMA - Nonmetropolitan Counties,Coffee,28,0,6,,0,22,153,68,73,12,
ALABAMA - Nonmetropolitan Counties,Coosa,23,0,1,,1,21,174,54,102,18,
ALABAMA - Nonmetropolitan Counties,Covington,19,0,3,,1,15,151,52,84,15,
ALABAMA - Nonmetropolitan Counties,Cullman,58,2,24,,1,31,910,245,574,91,
ALABAMA - Nonmetropolitan Counties,Dale,38,1,12,,1,24,248,64,161,23,
ALABAMA - Nonmetropolitan Counties,Dallas,76,1,8,,4,63,428,173,229,26,
ALABAMA - Nonmetropolitan Counties,DeKalb,162,2,18,,2,140,736,225,403,108,
ALABAMA - Nonmetropolitan Counties,Escambia,3,0,0,,0,3,36,10,20,6,
ALABAMA - Nonmetropolitan Counties,Franklin,45,1,5,,4,35,300,85,182,33,
ALABAMA - Nonmetropolitan Counties,Greene,42,0,0,,5,37,126,71,49,6,
ALABAMA - Nonmetropolitan Counties,Marengo,35,1,1,,4,29,183,72,105,6,
ALABAMA - Nonmetropolitan Counties,Marion,31,3,3,,0,25,217,91,115,11,
ALABAMA - Nonmetropolitan Counties,Marshall,45,1,9,,1,34,454,189,227,38,
ALABAMA - Nonmetropolitan Counties,Monroe,41,1,0,,3,37,116,51,62,3,
ALABAMA - Nonmetropolitan Counties,Pike,21,1,0,,2,18,100,27,69,4,
ALABAMA - Nonmetropolitan Counties,Talladega,120,2,9,,12,97,708,210,430,68,
ALABAMA - Nonmetropolitan Counties,Tallapoosa,25,1,3,,0,21,131,56,68,7,
ALABAMA - Nonmetropolitan Counties,Washington,42,2,4,,1,35,137,44,65,28,
ALABAMA - Nonmetropolitan Counties,Wilcox,52,2,2,,1,47,137,64,59,14,
ARIZONA - Metropolitan Counties,Cochise,212,2,10,,4,196,606,89,458,59,0
ARIZONA - Metropolitan Counties,Coconino,99,3,15,,4,77,419,113,288,18,20
ARIZONA - Metropolitan Counties,Maricopa,1146,22,100,,110,914,5365,1250,3455,660,77
ARIZONA - Metropolitan Counties,Pima,652,18,77,,172,385,8936,1674,6660,602,69
ARIZONA - Metropolitan Counties,Pinal,263,4,44,,13,202,1640,442,987,211,10
ARIZONA - Metropolitan Counties,Yavapai,226,4,22,,9,191,1028,280,653,95,12
ARIZONA - Metropolitan Counties,Yuma,131,6,20,,6,99,1004,387,535,82,5
ARIZONA - Nonmetropolitan Counties,Graham,5,0,1,,0,4,129,30,95,4,13
ARIZONA - Nonmetropolitan Counties,Greenlee,0,0,0,,0,0,60,30,16,14,0
ARIZONA - Nonmetropolitan Counties,La Paz,38,3,2,,3,30,407,155,222,30,0
ARIZONA - Nonmetropolitan Counties,Navajo,73,6,8,,4,55,409,159,214,36,6
ARKANSAS - Metropolitan Counties,Benton,95,2,26,,2,65,663,328,300,35,3
ARKANSAS - Metropolitan Counties,Cleveland,10,0,2,,1,7,71,30,38,3,2
ARKANSAS - Metropolitan Counties,Craighead,46,1,17,,0,28,343,102,205,36,6
ARKANSAS - Metropolitan Counties,Crawford,89,2,14,,0,73,422,99,268,55,0
ARKANSAS - Metropolitan Counties,Crittenden,128,7,8,,20,93,338,129,180,29,2
ARKANSAS - Metropolitan Counties,Faulkner,122,1,27,,3,91,1040,285,609,146,10
ARKANSAS - Metropolitan Counties,Garland,357,0,47,,20,290,1723,831,763,129,0
ARKANSAS - Metropolitan Counties,Grant,47,0,4,,0,43,206,65,123,18,0
ARKANSAS - Metropolitan Counties,Jefferson,82,1,13,,6,62,405,159,200,46,6
ARKANSAS - Metropolitan Counties,Lincoln,16,0,1,,0,15,76,29,38,9,0
ARKANSAS - Metropolitan Counties,Little River,11,0,3,,0,8,71,27,36,8,0
ARKANSAS - Metropolitan Counties,Lonoke,104,1,13,,8,82,456,87,274,95,2
ARKANSAS - Metropolitan Counties,Madison,22,0,4,,1,17,73,35,32,6,2
ARKANSAS - Metropolitan Counties,Miller,27,1,11,,1,14,315,118,159,38,0
ARKANSAS - Metropolitan Counties,Perry,46,0,2,,1,43,150,36,114,0,0
ARKANSAS - Metropolitan Counties,Poinsett,6,0,4,,0,2,1,1,0,0,0
ARKANSAS - Metropolitan Counties,Pulaski,375,5,24,,27,319,1831,411,1190,230,9
ARKANSAS - Metropolitan Counties,Saline,158,2,28,,4,124,837,255,467,115,6
ARKANSAS - Metropolitan Counties,Sebastian,62,0,15,,2,45,313,104,190,19,5
ARKANSAS - Metropolitan Counties,Washington,188,3,18,,0,167,564,185,329,50,5
ARKANSAS - Nonmetropolitan Counties,Arkansas,10,0,0,,3,7,129,42,73,14,2
ARKANSAS - Nonmetropolitan Counties,Ashley,22,0,6,,1,15,184,71,100,13,1
ARKANSAS - Nonmetropolitan Counties,Baxter,57,0,13,,1,43,682,84,551,47,2
ARKANSAS - Nonmetropolitan Counties,Boone,179,0,36,,2,141,310,97,184,29,1
ARKANSAS - Nonmetropolitan Counties,Bradley,8,0,2,,0,6,29,24,2,3,0
ARKANSAS - Nonmetropolitan Counties,Calhoun,4,0,1,,0,3,53,20,30,3,1
ARKANSAS - Nonmetropolitan Counties,Carroll,41,2,7,,0,32,17,1,11,5,1
ARKANSAS - Nonmetropolitan Counties,Chicot,3,0,1,,0,2,76,26,50,0,0
ARKANSAS - Nonmetropolitan Counties,Clark,22,0,0,,1,21,86,18,58,10,1
ARKANSAS - Nonmetropolitan Counties,Clay,6,0,2,,0,4,41,17,21,3,0
ARKANSAS - Nonmetropolitan Counties,Cleburne,78,2,22,,0,54,330,97,199,34,2
ARKANSAS - Nonmetropolitan Counties,Columbia,27,2,1,,0,24,53,28,23,2,2
ARKANSAS - Nonmetropolitan Counties,Conway,21,0,10,,0,11,285,53,203,29,7
ARKANSAS - Nonmetropolitan Counties,Cross,26,0,3,,1,22,121,35,74,12,9
ARKANSAS - Nonmetropolitan Counties,Dallas,4,0,0,,0,4,21,10,11,0,0
ARKANSAS - Nonmetropolitan Counties,Drew,18,0,2,,0,16,131,42,77,12,2
ARKANSAS - Nonmetropolitan Counties,Franklin,52,0,8,,0,44,267,100,149,18,3
ARKANSAS - Nonmetropolitan Counties,Fulton,13,0,2,,0,11,66,0,61,5,0
ARKANSAS - Nonmetropolitan Counties,Greene,25,0,7,,0,18,216,71,135,10,1
ARKANSAS - Nonmetropolitan Counties,Hempstead,31,1,3,,1,26,214,66,121,27,2
